HotelPrice,Area
98,Paris
155,Paris
262,Paris
131,Paris
162,Paris
262,Paris
214,Rome
118,Rome
100,Rome
81,Rome
116,Rome
221,Rome
202,Rome
126,Rome
214,Rome
